Price,Close,High,Low,Open,Volume
Ticker,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK
Date,,,,,
2022-05-17,6786.7333984375,6855.517858556799,6672.092631572002,6672.092631572002,159657600
2022-05-18,6947.22998046875,6947.22998046875,6763.804766462975,6878.445525216584,153514300
2022-05-19,6832.58984375,6855.517997588087,6763.805382235738,6786.733536073825,140908900
2022-05-20,6786.7333984375,6855.517858556799,6786.7333984375,6809.6615518106,86520200
2022-05-23,6763.8056640625,6855.518283236229,6740.877509269068,6832.590128442796,71603500
2022-05-24,6740.87744140625,6855.518214219282,6717.949286843644,6717.949286843644,108710800
2022-05-25,6763.8056640625,6832.590128442796,6740.877509269068,6786.733818855932,76747400
2022-05-27,6947.22998046875,6947.22998046875,6855.517373465862,6901.373676967306,84336900
2022-05-30,6947.22998046875,6970.1581322194725,6855.517373465862,6947.22998046875,105411400
2022-05-31,7107.72802734375,7107.72802734375,6901.374633001512,6970.159097782258,286292700
2022-06-02,6947.22998046875,7038.942587471638,6901.373676967306,6993.086283970194,149226300
2022-06-03,6970.15869140625,7038.9431521767065,6947.230537816098,6970.15869140625,80563100
2022-06-06,6832.58984375,6947.230612940436,6809.661689911913,6924.302459102349,81140300
2022-06-07,6763.8056640625,6855.518283236229,6695.021199682204,6695.021199682204,129242500
2022-06-08,6970.15869140625,6970.15869140625,6809.661616275185,6878.446077045642,108910500
2022-06-09,6878.4453125,6947.229765625,6878.4453125,6878.4453125,107828300
2022-06-10,6740.87744140625,6832.590059656675,6740.87744140625,6786.733750531463,111768600
2022-06-13,6740.87744140625,6786.733750531463,6672.092977718431,6695.021132281037,85539500
2022-06-14,6786.7333984375,6786.7333984375,6649.1644781989025,6695.020784945102,80865100
2022-06-15,6717.94873046875,6763.805035796182,6695.020577805034,6695.020577805034,130367100
2022-06-16,6947.22998046875,6970.1581322194725,6763.804766462975,6786.732918213696,132666300
2022-06-17,6878.4453125,6924.3016145833335,6809.660859375,6809.660859375,117839400
2022-06-20,6993.0869140625,7016.015067879098,6878.446144979508,6970.158760245901,88138700
2022-06-21,7016.01416015625,7016.01416015625,6924.301556755515,6970.157858455882,44295700
2022-06-22,6878.4453125,7016.01421875,6878.4453125,6993.086067708334,53041800
2022-06-23,6901.37451171875,6947.230820766715,6832.5900481468025,6832.5900481468025,60443000
2022-06-24,6855.51806640625,6970.1588367474915,6855.51806640625,6970.1588367474915,57956600
2022-06-27,6740.87744140625,6878.446368781888,6740.87744140625,6855.518214219282,76354100
2022-06-28,6695.0205078125,6786.733117508562,6695.0205078125,6695.0205078125,146078100
2022-06-29,6672.0927734375,6786.73354274055,6672.0927734375,6717.949081158719,98517800
2022-06-30,6649.16455078125,6786.733472521551,6649.16455078125,6695.020858028017,101343900
2022-07-01,6649.16455078125,6717.949011651401,6649.16455078125,6695.020858028017,68738800
2022-07-04,6465.740234375,6672.093646110372,6419.883920656029,6649.165489250887,102238600
2022-07-05,6649.16455078125,6717.949011651401,6511.595629040949,6511.595629040949,69172900
2022-07-06,6695.0205078125,6717.948660236515,6580.379745692423,6695.0205078125,66801100
2022-07-07,6511.595703125,6649.164626430458,6511.595703125,6626.236472546215,86126800
2022-07-08,6557.45166015625,6580.379812814139,6488.667202182583,6534.523507498361,64312400
2022-07-11,6534.5244140625,6603.308881578947,6534.5244140625,6603.308881578947,36830800
2022-07-12,6580.3798828125,6649.164341517857,6557.451729910715,6580.3798828125,34269000
2022-07-13,6419.8828125,6534.523577008928,6419.8828125,6511.595424107143,71988200
2022-07-14,6442.81103515625,6511.595494606317,6419.882882006228,6442.81103515625,83316300
2022-07-15,6419.8828125,6511.595424107143,6419.8828125,6511.595424107143,57419900
2022-07-18,6557.45166015625,6557.45166015625,6442.810896866805,6442.810896866805,60077700
2022-07-19,6580.3798828125,6580.3798828125,6511.595424107143,6511.595424107143,59641000
2022-07-20,6786.7333984375,6786.7333984375,6580.380018079603,6603.308171452703,105792900
2022-07-21,6786.7333984375,6786.7333984375,6649.1644781989025,6786.7333984375,64337100
2022-07-22,6717.94873046875,6786.733188459898,6695.020577805034,6786.733188459898,38956500
2022-07-25,6695.0205078125,6763.804965084546,6695.0205078125,6740.876812660531,31247600
2022-07-26,6695.0205078125,6763.804965084546,6649.164202964469,6649.164202964469,44379900
2022-07-27,6717.94873046875,6740.876883132466,6672.092425141318,6717.94873046875,58465500
2022-07-28,6740.87744140625,6832.590059656675,6717.949286843644,6763.805595968856,86909700
2022-07-29,6740.87744140625,6855.518214219282,6740.87744140625,6786.733750531463,131553000
