Ticker,Latest Close,RSI,SMA20,SMA50,SMA200,52W High,52W Low,Volatility,Avg Volume,Rel Performance,Uptrend,Downtrend,Wedge,Trendline Support,Triangle Asc,Channel Up,Channel Down,Double Bottom,Multiple Bottom,Head and Shoulders
BRIS,2900.0,56.33802816901409,2823.0,2604.0,2772.4,3160.0,2080.0,52.32489595634197,36439515.0,-0.5639097744360902,No,No,No,Yes,No,Yes,No,No,No,No
BRMS,364.0,47.368421052631575,375.3,365.28,319.325,494.0,134.0,5.667079448315176,400929125.0,-0.9452631578947368,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No
BRNA,695.0,47.61904761904762,695.0,696.5,680.95,900.0,590.0,15.085283871161181,40570.0,-0.8954887218045113,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No
BRPT,935.0,86.27450980392157,802.0,763.2,930.1,1337.859375,600.0,15.154901934075044,90809705.0,-0.8593984962406015,No,No,No,Yes,No,Yes,No,No,No,No
BRRC,55.0,66.66666666666666,52.35,52.88,531.56,1195.0,50.0,2.4809802816050888,9727810.0,-0.9917293233082707,No,No,Yes,No,Yes,No,No,No,No,No
BSBK,53.0,71.42857142857143,50.75,50.54,55.405,94.0,50.0,1.4363696928551624,28429705.0,-0.9920300751879699,No,No,Yes,No,Yes,No,No,Yes,Yes,No
BSDE,880.0,53.33333333333333,846.25,826.9,1014.75,1340.0,725.0,13.71706582096503,18191365.0,-0.8676691729323308,No,No,No,No,No,No,No,No,Yes,No
BSIM,840.0,23.529411764705884,875.25,862.4,827.0,975.0,705.0,44.196778877625945,54385.0,-0.8736842105263158,No,No,No,Yes,No,No,No,Yes,No,No
BSML,72.0,50.0,71.7,86.96,107.93,148.0,67.0,0.9679060414543897,30376320.0,-0.989172932330827,No,No,Yes,No,Yes,No,Yes,No,No,No
BSSR,4410.0,64.61538461538461,4218.0,4129.0,4347.225,5025.0,3740.0,43.540664598558116,678295.0,-0.33684210526315794,No,No,No,Yes,No,Yes,No,No,No,No
BSWD,1555.0,0.0,1896.0,2052.4,2688.35,3100.0,1555.0,39.15135945747334,115.0,-0.7661654135338346,No,No,No,No,Yes,No,Yes,Yes,Yes,No
BTEK,6.0,57.14285714285714,5.55,6.4,4.57,12.0,1.0,0.5982430414975676,132905210.0,-0.9990977443609023,No,No,Yes,Yes,Yes,No,No,No,Yes,No
BTON,422.0,62.5,417.4,413.68,414.84,458.0,362.0,8.620660617003438,9720.0,-0.9365413533834587,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No
BTPN,2210.0,52.459016393442624,2193.0,2095.5,2238.375,2490.0,1915.0,47.63899331650942,192075.0,-0.6676691729323307,No,No,No,No,No,No,No,No,No,No
BTPS,1310.0,84.0,1175.0,1021.0,1058.15,1410.0,830.0,36.792447737629665,21750995.0,-0.8030075187969925,No,No,No,Yes,No,Yes,No,No,No,No
BUAH,1755.0,58.82352941176471,1753.75,1756.9,1699.3,2090.0,1140.0,16.87999438762318,82635.0,-0.7360902255639098,No,No,No,Yes,No,No,No,Yes,No,No
BUDI,218.0,75.0,202.8,198.72,221.02,282.0,184.0,3.745523644068484,185270.0,-0.967218045112782,No,No,Yes,No,Yes,No,No,No,No,No
BUKA,137.0,24.0,142.65,138.5,127.47,152.0,109.0,2.3367769075470384,210484000.0,-0.9793984962406015,No,No,Yes,Yes,Yes,No,No,Yes,No,No
BUKK,850.0,39.99999999999999,846.5,832.2,911.15,1060.0,745.0,25.935141776115934,19035.0,-0.8721804511278195,No,No,Yes,No,Yes,No,No,Yes,No,No
BULL,116.0,50.0,115.25,121.1,121.855,149.0,104.0,1.932410548037891,113565900.0,-0.9825563909774436,No,No,Yes,No,Yes,No,Yes,Yes,No,No
BUMI,122.0,64.70588235294117,111.25,99.76,112.185,174.0,69.0,2.1788456624794676,1307989930.0,-0.9816541353383459,No,No,Yes,Yes,Yes,Yes,No,No,No,No
BUVA,64.0,43.75,66.75,70.7,63.48,119.0,53.0,1.6630662865730386,15676820.0,-0.990375939849624,No,No,Yes,Yes,Yes,No,No,Yes,No,No
BVIC,84.0,53.33333333333333,83.8,82.0,86.29,111.0,64.0,1.1652874051894817,2922790.0,-0.9873684210526316,No,No,Yes,No,Yes,No,No,No,Yes,No
BWPT,60.0,60.0,58.55,56.68,56.815,68.0,50.0,1.1876558068903666,18232225.0,-0.9909774436090225,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No
BYAN,20000.0,51.5625,19967.5,19834.0,18691.125,20700.0,15175.0,135.11082195933164,36235.0,2.007518796992481,No,No,No,Yes,No,Yes,No,No,Yes,No
CAKK,143.0,70.37037037037038,138.7,135.88,145.515,180.0,107.0,2.595542738078305,213005.0,-0.9784962406015038,No,No,Yes,No,Yes,No,No,No,No,No
CAMP,193.0,49.29577464788732,191.2,172.48,252.0,420.0,141.0,6.635431211937085,17536510.0,-0.9709774436090226,No,No,Yes,No,Yes,No,No,No,No,No
CANI,35.0,64.28571428571428,33.7,37.04,44.9,56.0,28.0,1.7252002171928547,67895.0,-0.9947368421052631,No,No,Yes,No,Yes,No,Yes,Yes,No,No
CARE,240.0,85.18518518518519,213.2,211.22,152.94,240.0,75.0,3.4008512866062204,19908520.0,-0.9639097744360903,No,No,Yes,Yes,Yes,Yes,No,No,No,No
CARS,89.0,55.55555555555556,88.25,88.7,84.505,96.0,74.0,0.6958523738861243,3488340.0,-0.9866165413533835,No,No,Yes,Yes,Yes,Yes,No,No,No,No
CASA,900.0,79.06976744186046,820.25,768.3,590.165,900.0,466.0,13.850707753146942,6096670.0,-0.8646616541353384,No,No,No,Yes,No,Yes,No,No,No,No
CASH,62.0,64.28571428571428,56.85,57.64,69.135,97.0,53.0,1.5719582155726144,798655.0,-0.9906766917293233,No,No,Yes,No,Yes,No,No,No,No,No
CASS,1955.0,50.66666666666667,1948.25,1853.1,1635.375,2020.0,990.0,110.60955512165508,310865.0,-0.706015037593985,No,No,No,Yes,No,Yes,No,No,Yes,No
CBDK,6350.0,38.8235294117647,6788.75,6315.5,3791.675,10450.0,1295.0,182.74226889831795,9524850.0,-0.045112781954887216,No,No,No,Yes,No,Yes,No,Yes,No,No
CBPE,190.0,38.23529411764706,194.9,195.74,184.015,246.0,115.0,5.5200591148469975,415800.0,-0.9714285714285714,No,No,Yes,Yes,Yes,No,No,No,Yes,No
CBRE,29.0,66.66666666666666,27.05,26.04,23.215,39.0,14.0,0.5982430414694955,1434560.0,-0.9956390977443609,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No
CBUT,1025.0,43.75,1057.25,1035.8,1145.85,1640.0,895.0,39.21180676114704,19625.0,-0.8458646616541353,No,No,No,No,No,No,Yes,Yes,Yes,No
CCSI,362.0,41.1764705882353,378.5,387.24,308.38,486.0,226.0,10.104194022382044,476300.0,-0.945563909774436,No,No,No,Yes,Yes,No,No,Yes,Yes,No
CEKA,2570.0,79.41176470588235,2398.5,2192.1,2094.55,2600.0,1825.0,33.00318963851299,209360.0,-0.6135338345864662,No,No,No,Yes,No,Yes,No,No,No,No
CENT,98.0,20.754716981132077,114.25,74.96,53.105,133.0,31.0,10.565086494270844,54648245.0,-0.9852631578947368,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No
CFIN,328.0,62.7906976744186,312.8,295.96,350.73,515.0,268.0,8.321816603289802,3459240.0,-0.9506766917293233,No,No,Yes,No,Yes,No,No,No,No,No
CGAS,95.0,38.095238095238095,94.25,88.38,104.215,160.0,77.0,7.963072667986322,35981070.0,-0.9857142857142858,No,No,Yes,No,Yes,No,No,Yes,No,No
CHEM,57.0,85.71428571428571,53.4,53.72,65.435,97.0,50.0,2.615741818872446,9122425.0,-0.9914285714285714,No,No,Yes,No,Yes,No,No,No,No,No
CHIP,1390.0,29.411764705882362,1421.25,1428.9,1447.625,2190.0,1315.0,8.013147091851259,107520.0,-0.7909774436090226,No,No,No,No,Yes,No,Yes,Yes,Yes,No
CINT,173.0,38.46153846153846,179.25,163.84,169.85,240.0,130.0,14.858897741929436,1069200.0,-0.9739849624060151,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No
CITA,4120.0,72.28260869565217,3728.0,3311.2,3002.725,4350.0,1990.0,160.90206239887172,154955.0,-0.3804511278195488,No,No,No,Yes,No,Yes,No,No,No,No
