Ticker,Latest Close,RSI,SMA20,SMA50,SMA200,52W High,52W Low,Volatility,Avg Volume,Rel Performance,Uptrend,Downtrend,Wedge,Trendline Support,Triangle Asc,Channel Up,Channel Down,Double Bottom,Multiple Bottom,Head and Shoulders
AUTO,2130.0,47.72727272727273,2129.5,2045.2,2195.875,2580.0,1795.0,22.307657406077745,3894160.0,-0.6796992481203008,No,No,No,No,No,No,No,No,No,No
AVIA,452.0,72.34042553191489,433.2,408.4,439.24,550.0,342.0,7.006763649618315,20150950.0,-0.93203007518797,No,No,Yes,Yes,Yes,Yes,No,No,No,No
AWAN,352.0,69.49152542372882,314.3,299.12,323.34,450.0,264.0,7.045715383314027,22246210.0,-0.9470676691729323,No,No,Yes,Yes,Yes,Yes,No,No,No,No
AXIO,121.0,70.37037037037038,113.9,111.26,125.61,198.0,103.0,1.6050905859078441,456785.0,-0.9818045112781955,No,No,Yes,No,Yes,No,No,No,No,No
AYAM,144.0,55.0,143.55,143.72,135.03,156.0,102.0,1.3726654821230961,109789140.0,-0.9783458646616542,No,No,Yes,Yes,Yes,Yes,No,No,No,No
AYLS,88.0,69.56521739130434,76.05,72.28,73.34,144.0,50.0,7.469235147169516,20071765.0,-0.9867669172932331,No,No,Yes,Yes,Yes,Yes,No,No,No,No
BABP,54.0,54.54545454545455,53.35,51.34,58.935,83.0,50.0,1.353358395571077,26767900.0,-0.9918796992481203,No,No,Yes,No,Yes,No,No,Yes,No,No
BABY,372.0,44.18604651162791,371.0,327.8,292.425,424.0,81.0,16.5850281246147,7939000.0,-0.9440601503759398,No,No,No,Yes,Yes,Yes,No,Yes,No,No
BACA,130.0,37.5,130.9,130.4,130.675,139.0,128.0,0.5026246894464736,1021920.0,-0.9804511278195489,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No
BAIK,79.0,65.38461538461539,71.4,76.42,65.44,97.0,54.0,2.960707596703971,3653625.0,-0.9881203007518797,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No
BAJA,86.0,66.66666666666666,83.0,82.56,94.445,116.0,71.0,0.8127277005767927,350940.0,-0.9870676691729323,No,No,Yes,No,Yes,No,No,No,No,No
BALI,1250.0,39.285714285714285,1274.25,1314.5,1179.65,1745.0,795.0,18.12965003870379,91830.0,-0.8120300751879699,No,No,No,Yes,No,No,No,No,Yes,No
BANK,860.0,61.764705882352935,816.0,810.0,834.975,1005.0,780.0,12.343760409704025,6965775.0,-0.8706766917293233,No,No,No,Yes,No,Yes,No,No,No,No
BAPA,51.0,55.55555555555556,50.25,50.6,54.535,64.0,50.0,1.814415956352364,2148895.0,-0.9923308270676692,No,No,Yes,No,Yes,No,No,Yes,Yes,No
BAPI,9.0,50.0,8.5,8.4,16.905,50.0,7.0,0.4893604844264086,4510615.0,-0.9986466165413533,No,No,Yes,No,Yes,No,No,No,No,No
BATA,51.0,66.66666666666666,50.35,50.72,54.79,97.0,50.0,3.803045870646909,267735.0,-0.9923308270676692,No,No,Yes,No,Yes,No,No,Yes,Yes,No
BATR,79.0,65.51724137931035,66.95,64.46,74.06,120.0,50.0,6.4585724346987226,23479485.0,-0.9881203007518797,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No
BAUT,26.0,85.71428571428571,17.95,16.22,16.665,26.0,13.0,0.6569466849564629,3992115.0,-0.9960902255639098,No,No,Yes,Yes,Yes,Yes,No,No,No,No
BAYU,1370.0,63.63636363636363,1323.5,1259.0,1344.3,1510.0,1100.0,26.629771625788894,330795.0,-0.793984962406015,No,No,No,Yes,No,Yes,No,No,No,No
BBCA,9650.0,88.88888888888889,8922.5,8688.5,9727.0,10950.0,7775.0,78.84862245567516,86687000.0,0.45112781954887216,No,No,No,No,No,No,No,No,No,No
BBHI,750.0,82.3529411764706,722.5,667.9,813.175,1030.0,555.0,14.370565677602144,707105.0,-0.887218045112782,No,No,No,No,No,No,No,No,No,No
BBKP,68.0,60.0,63.35,55.44,56.885,71.0,50.0,3.468277291095989,474081720.0,-0.9897744360902255,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No
BBLD,685.0,45.205479452054796,669.25,630.5,651.1,800.0,550.0,54.64237800172855,115150.0,-0.8969924812030076,No,No,No,Yes,No,Yes,No,No,No,No
